,Total,Total,Total,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,Arunachal Pradesh,Arunachal Pradesh,Arunachal Pradesh,Assam,Assam,Assam,Bihar,Bihar,Bihar,Chandigarh,Chandigarh,Chandigarh,Chhattisgarh,Chhattisgarh,Chhattisgarh,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli and Daman and Diu,DD,DD,DD,Delhi,Delhi,Delhi,Goa,Goa,Goa,Gujarat,Gujarat,Gujarat,Haryana,Haryana,Haryana,Himachal Pradesh,Himachal Pradesh,Himachal Pradesh,Jammu and Kashmir,Jammu and Kashmir,Jammu and Kashmir,Jharkhand,Jharkhand,Jharkhand,Karnataka,Karnataka,Karnataka,Kerala,Kerala,Kerala,Ladakh,Ladakh,Ladakh,Lakshadweep,Lakshadweep,Lakshadweep,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Maharashtra,Maharashtra,Maharashtra,Manipur,Manipur,Manipur,Meghalaya,Meghalaya,Meghalaya,Mizoram,Mizoram,Mizoram,Nagaland,Nagaland,Nagaland,Odisha,Odisha,Odisha,Puducherry,Puducherry,Puducherry,Punjab,Punjab,Punjab,Rajasthan,Rajasthan,Rajasthan,Sikkim,Sikkim,Sikkim,Tamil Nadu,Tamil Nadu,Tamil Nadu,Telangana,Telangana,Telangana,Tripura,Tripura,Tripura,Uttar Pradesh,Uttar Pradesh,Uttar Pradesh,Uttarakhand,Uttarakhand,Uttarakhand,West Bengal,West Bengal,West Bengal,State Unassigned,State Unassigned,State Unassigned
Status,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,81,2,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,6,1,0,19,0,3,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0
2020-03-15,27,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-03-17,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0
2020-03-18,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,8,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
2020-03-19,27,1,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,0,4,1,0,0,0,0,0,0,0,0
2020-03-20,58,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,5,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,12,0,0,2,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
2020-03-21,78,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,0,0,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,7,0,0,0,0,0,3,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0
2020-03-22,67,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,15,0,0,0,0,0,0,0,0,2,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,3,0,0,6,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0
2020-03-23,102,2,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,0,7,0,11,1,1,0,0,0,0,0,0,0,7,0,1,28,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,3,0,0,6,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0
2020-03-24,64,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,8,0,1,14,0,1,0,0,0,0,0,0,1,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,1,0,4,0,0,0,0,0,3,0,2,0,0,0,2,0,0,0,0,0
2020-03-25,90,1,3,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,3,0,0,4,0,0,1,0,0,0,0,0,5,0,1,0,0,0,10,0,0,9,0,0,0,0,0,0,0,0,8,1,0,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,8,0,0,4,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
2020-03-26,65,5,7,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,1,0,0,0,0,0,3,1,0,0,0,0,4,1,0,19,0,7,0,0,0,0,0,0,5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,0,0,3,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
2020-03-27,164,3,26,5,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,1,6,0,0,0,0,0,9,1,2,39,0,0,0,0,3,0,0,0,9,1,0,31,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,10,0,0,0,0,0,9,0,1,15,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0
2020-03-28,143,5,9,3,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,1,0,2,0,0,0,0,1,13,0,0,0,0,0,17,0,0,6,1,1,0,0,0,0,0,0,10,0,0,30,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,8,1,0,0,0,0,16,0,0,1,0,1,3,0,0,0,0,0
2020-03-29,110,3,5,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,2,0,0,8,1,1,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,20,0,4,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,3,0,0,0,0,0,7,0,0,1,0,0,3,0,0,0,0,0
2020-03-30,187,13,49,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,7,1,2,1,0,6,0,0,0,11,0,0,0,0,0,5,0,1,32,0,4,0,0,0,0,0,0,8,2,0,17,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,20,0,0,0,0,0,17,0,2,7,5,13,0,0,0,24,0,6,0,0,1,1,1,0,0,0,0
2020-03-31,309,6,15,0,0,0,21,0,0,0,0,0,1,0,0,6,0,0,2,0,0,1,0,2,0,0,0,0,0,0,23,0,0,0,0,0,4,0,2,7,0,0,0,0,0,6,1,0,1,0,0,13,0,2,7,1,4,0,0,0,0,0,0,19,1,0,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,14,0,0,0,0,0,57,0,2,20,0,0,0,0,0,8,0,0,0,0,0,15,1,3,0,0,0
2020-04-01,424,9,16,0,0,0,67,0,1,0,0,0,15,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,13,0,0,0,0,10,0,0,0,7,0,1,0,0,0,9,0,1,24,0,2,0,0,0,0,0,0,32,1,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,4,0,0,27,0,0,0,0,0,110,0,0,30,3,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0
2020-04-02,486,14,22,0,0,0,38,0,0,1,0,0,0,0,0,5,0,3,1,0,0,0,0,1,0,0,0,0,0,0,141,2,2,0,0,0,1,1,5,6,0,0,3,0,0,8,0,1,1,0,0,14,0,2,21,0,2,0,0,0,0,0,0,9,2,0,88,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,13,0,0,0,0,0,75,0,0,27,0,3,0,0,0,11,0,0,3,0,0,16,0,0,0,0,0
2020-04-03,560,14,38,0,0,0,15,1,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,2,0,1,0,0,7,2,0,9,0,0,0,1,0,5,0,0,0,0,0,4,1,0,9,0,14,1,0,0,0,0,0,47,0,0,64,5,8,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,6,0,0,46,0,0,0,0,0,102,0,0,75,2,15,0,0,0,46,0,0,6,0,0,0,0,0,0,0,0
2020-04-04,579,13,56,0,0,0,28,0,0,0,0,0,3,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,59,0,8,1,0,0,13,1,3,26,0,1,7,0,0,17,0,0,0,0,0,16,0,0,11,0,8,0,0,0,0,0,0,25,3,0,148,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,2,27,1,22,0,0,0,74,2,2,43,0,1,0,0,0,60,0,4,6,0,0,0,0,0,0,0,0
2020-04-05,609,22,43,0,0,0,64,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,58,1,0,0,0,0,20,1,8,6,0,0,1,0,0,14,0,1,1,0,0,7,0,1,8,0,6,0,0,0,0,0,0,14,2,3,112,13,4,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,3,2,1,60,0,0,0,0,0,86,2,0,62,0,0,0,0,0,44,1,0,4,0,2,27,0,7,0,0,0
2020-04-06,484,16,65,0,0,0,47,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,18,1,1,20,2,0,4,0,0,3,0,0,1,0,0,12,0,8,13,0,3,0,0,7,0,0,0,63,2,8,121,7,14,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,35,1,0,0,0,0,50,1,5,30,0,12,1,0,0,27,0,0,5,0,0,0,0,0,0,0,0
2020-04-07,572,27,75,0,0,0,11,1,0,0,0,0,2,0,0,6,0,6,0,0,2,0,0,1,0,0,0,0,0,0,51,2,4,0,0,0,29,2,3,33,0,2,9,0,1,16,1,0,0,0,0,12,0,5,9,0,12,0,0,0,0,0,0,34,6,10,150,12,9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,20,1,10,42,0,0,0,0,0,69,1,6,40,0,0,0,0,0,27,0,0,0,0,0,11,0,3,0,0,0
2020-04-08,565,20,96,1,0,0,34,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,1,0,0,0,11,2,0,24,0,1,0,0,0,33,0,2,0,0,0,6,1,3,9,0,13,0,0,0,0,0,0,51,3,4,117,8,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,40,1,20,0,0,0,48,1,2,49,0,0,0,0,0,29,1,10,4,0,1,8,2,0,0,0,0
2020-04-09,813,46,70,0,0,10,15,2,4,0,0,0,1,0,0,19,0,0,0,0,0,8,0,0,0,0,0,0,0,0,51,3,4,0,0,0,76,2,1,3,0,0,1,0,0,26,1,0,9,1,0,16,1,2,12,0,13,0,0,0,0,0,0,70,9,0,229,25,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,24,1,4,80,0,15,0,0,0,96,0,6,18,1,0,0,0,0,49,0,0,0,0,0,4,0,3,0,0,0
2020-04-10,871,22,151,0,0,0,18,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,183,2,2,0,0,1,116,1,7,6,0,4,0,0,0,23,0,0,1,0,0,10,0,4,7,0,27,1,0,1,0,0,0,40,4,12,210,12,63,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,2,0,0,21,1,2,98,0,0,0,0,0,77,1,17,16,0,0,1,0,0,23,0,1,0,0,0,13,0,0,0,0,0
2020-04-11,854,40,186,0,0,0,24,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,166,5,0,0,0,4,90,3,11,3,0,0,4,0,6,17,0,0,3,0,0,8,0,5,10,1,19,0,0,0,0,0,0,78,4,1,187,17,20,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,1,0,139,6,56,0,0,0,58,1,0,16,2,51,0,0,0,19,1,13,0,0,0,10,0,0,0,0,0
2020-04-12,758,42,114,0,0,0,15,1,2,0,0,0,1,0,0,0,0,11,2,0,0,6,0,1,0,0,0,0,0,0,85,5,1,0,0,0,48,2,0,16,1,8,0,0,4,21,0,0,2,1,0,17,0,15,2,0,36,0,0,0,0,0,0,33,3,3,221,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,104,2,5,0,0,0,106,1,6,28,2,7,0,0,0,31,0,0,0,0,0,8,2,3,0,0,0
2020-04-13,1243,27,112,0,0,0,19,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,356,4,3,0,0,0,56,2,10,1,0,7,0,0,0,25,0,10,5,0,0,15,2,6,3,0,19,2,0,1,0,0,0,52,7,10,352,11,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,6,0,2,93,0,0,0,0,0,98,0,8,61,1,0,0,0,0,75,0,4,0,0,2,18,0,10,0,0,0
2020-04-14,1031,37,167,0,0,0,45,4,4,0,0,0,1,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,51,2,0,0,0,0,78,2,5,2,0,4,1,0,1,8,0,14,3,0,0,13,2,11,8,0,13,0,0,0,0,0,0,127,3,13,346,18,30,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,1,2,108,0,26,0,0,0,31,1,23,52,1,7,0,0,0,102,3,1,2,0,2,38,0,7,0,0,0
2020-04-15,886,27,144,0,0,0,41,3,4,0,0,1,0,0,2,6,0,0,0,0,2,0,0,4,0,0,0,0,0,0,17,2,10,0,0,1,116,5,5,6,0,2,2,0,0,22,0,6,1,0,0,19,2,9,1,0,7,1,0,0,0,0,0,197,0,0,236,9,36,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,71,0,0,0,0,0,38,2,37,6,0,8,0,0,1,75,3,7,0,0,0,23,0,1,0,0,0
2020-04-16,1061,26,258,0,0,1,9,0,0,0,0,0,2,0,3,11,0,8,0,0,0,3,0,6,0,0,0,0,0,0,62,6,11,0,0,0,163,3,9,11,0,8,0,0,3,14,0,2,1,0,0,36,1,2,7,0,27,0,0,2,0,0,0,226,2,6,285,7,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,2,55,0,17,0,0,0,25,1,62,50,0,68,0,0,0,70,2,11,0,0,0,18,3,5,0,0,0
2020-04-17,922,38,273,1,0,0,38,0,15,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,67,4,20,0,0,0,170,5,13,8,0,21,3,0,0,14,1,4,3,0,0,44,0,6,1,0,10,0,0,0,0,0,0,146,14,0,120,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,1,98,6,19,0,0,0,56,0,103,66,0,0,0,0,0,44,1,14,3,0,0,24,0,9,0,0,0
2020-04-18,1371,35,426,2,0,0,31,2,7,0,0,0,0,0,3,1,1,5,2,0,0,0,0,1,0,0,0,0,0,0,186,1,135,0,0,0,277,12,7,9,0,14,1,0,0,13,0,9,1,0,0,25,1,16,4,0,2,0,0,0,0,0,0,92,0,57,327,10,34,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,3,23,2,1,122,4,17,0,0,0,49,0,82,43,0,0,0,0,0,126,0,26,2,0,0,32,2,4,0,0,0
2020-04-19,1580,38,388,1,0,0,44,1,23,0,0,0,0,0,5,10,0,0,3,0,4,0,0,0,0,0,0,0,0,0,110,2,83,0,0,1,367,10,12,18,0,4,0,0,0,13,0,5,8,0,0,6,2,7,2,0,13,0,0,0,0,0,0,5,3,4,552,12,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,127,2,5,0,0,0,105,0,46,49,3,0,0,0,0,125,3,19,2,0,2,23,0,7,0,0,0
2020-04-20,1239,33,419,1,0,0,75,3,27,0,0,0,0,0,2,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78,2,141,0,0,0,196,8,26,1,0,37,0,0,0,14,0,15,5,0,4,18,0,1,6,0,21,0,0,0,0,0,0,78,4,7,466,9,65,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,1,98,2,0,0,0,0,43,2,46,14,2,0,0,0,0,84,1,13,2,0,7,29,0,4,0,0,0
2020-04-21,1537,53,703,1,0,0,35,2,4,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75,0,180,0,0,0,239,19,8,4,0,6,0,0,0,12,0,10,0,0,0,10,1,17,19,0,16,0,0,0,0,0,0,67,4,10,552,19,150,0,0,0,1,0,0,0,0,0,0,0,0,5,0,6,0,0,0,6,0,11,159,1,69,0,0,0,76,1,178,56,0,8,0,0,0,153,3,22,0,0,1,53,3,7,0,0,0
2020-04-22,1292,36,394,1,0,0,56,2,24,0,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,92,1,113,0,0,0,229,13,40,9,0,11,0,0,0,27,0,11,0,0,0,9,0,2,11,0,1,0,0,0,0,0,0,35,0,4,431,18,67,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,27,0,4,153,1,70,0,0,0,33,0,27,15,1,0,0,0,0,112,0,11,0,0,4,31,0,0,0,0,0
2020-04-23,1667,40,642,4,0,0,80,3,21,0,0,0,1,0,0,27,0,2,0,0,0,0,0,2,0,0,0,0,0,0,128,2,84,0,0,0,217,9,79,6,0,12,1,0,2,27,0,0,7,1,4,18,0,14,10,0,8,0,0,2,0,0,0,100,3,51,778,14,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,5,1,13,76,1,107,0,0,0,54,2,90,27,1,58,0,0,1,61,3,33,1,0,1,33,0,6,0,0,0
2020-04-24,1408,59,484,7,0,0,62,2,4,0,0,0,0,0,0,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,138,3,49,0,0,0,191,15,7,5,0,16,0,0,0,20,0,17,6,0,0,29,1,7,3,1,15,0,0,0,0,0,0,159,9,7,390,18,117,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,15,0,4,70,4,42,0,0,0,72,2,114,13,0,39,0,0,0,111,1,20,1,0,1,58,3,24,0,0,0
2020-04-25,1835,44,442,4,0,0,61,2,26,0,0,0,0,0,0,28,0,1,1,0,0,1,0,2,0,0,0,0,0,0,111,1,12,0,0,0,256,6,17,12,0,5,0,0,4,40,1,3,8,0,0,26,0,6,7,0,7,2,0,0,0,0,0,99,7,71,811,22,119,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,10,0,2,49,2,20,0,0,0,66,1,94,7,0,16,0,0,0,172,2,35,0,0,1,57,0,0,0,0,0
2020-04-26,1607,56,585,0,0,0,81,0,60,0,0,0,0,0,8,26,0,11,8,0,2,0,0,0,0,0,0,0,0,0,293,0,8,0,0,0,230,18,31,9,0,8,0,0,0,29,0,25,15,0,5,3,1,24,11,0,4,0,0,0,0,0,0,145,4,21,440,19,112,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,14,1,12,102,7,116,0,0,0,64,1,60,11,0,9,0,0,0,80,3,66,3,0,0,40,2,2,0,0,0
2020-04-27,1568,58,580,0,0,0,80,0,4,0,0,0,0,0,0,69,0,0,9,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,247,11,81,5,0,14,0,0,3,23,1,27,21,0,4,9,1,11,13,0,13,0,0,0,0,0,0,75,7,55,522,27,94,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,0,0,1,8,1,14,77,9,115,0,0,0,52,0,54,2,0,16,0,0,0,113,1,72,0,0,0,38,0,0,0,0,0
2020-04-28,1902,69,636,0,0,4,82,0,23,0,0,0,2,0,0,20,0,8,11,0,0,1,0,2,0,0,0,0,0,0,206,0,201,0,0,0,226,19,40,7,0,11,0,0,0,19,1,12,2,0,2,11,0,14,4,0,4,2,0,0,0,0,0,222,10,16,728,31,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,3,102,2,26,0,0,0,121,1,54,6,0,42,0,0,0,67,3,63,3,0,0,48,2,4,0,0,0
2020-04-29,1705,71,690,0,0,0,73,0,29,0,0,0,0,0,2,37,0,0,12,0,0,0,0,0,0,0,0,0,0,0,125,2,14,0,0,0,308,16,93,3,0,1,0,0,0,16,0,16,2,0,0,12,1,9,10,0,10,0,0,1,0,0,0,173,10,88,597,32,205,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,33,0,0,76,3,44,0,0,0,104,2,82,7,0,35,0,0,0,81,5,48,1,0,2,28,0,10,0,0,0
2020-04-30,1802,75,630,0,0,1,71,0,34,0,0,0,5,0,0,22,0,20,6,0,1,2,0,2,0,0,0,0,0,0,76,3,2,0,0,0,313,17,86,28,1,10,0,0,3,33,0,24,3,0,0,30,1,13,2,0,14,0,0,0,0,0,0,65,7,21,583,27,180,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,0,0,0,105,1,3,144,3,79,0,0,0,161,0,48,22,3,33,1,0,0,77,1,41,2,0,8,33,11,5,0,0,0
2020-05-01,2396,77,962,0,0,0,60,2,82,0,0,0,0,0,4,41,1,14,14,0,0,3,0,0,0,0,0,0,0,0,223,2,73,0,0,0,326,22,123,18,0,6,0,0,2,25,0,31,3,0,2,24,0,22,0,0,9,0,0,0,0,0,0,90,8,42,1008,26,106,0,0,0,0,0,10,0,0,0,0,0,0,11,0,14,0,0,0,105,0,4,82,4,223,0,0,0,203,1,54,6,0,22,0,0,0,117,2,103,0,1,1,37,8,15,0,0,0
2020-05-02,2564,92,831,0,0,10,62,0,38,0,0,0,0,0,0,15,1,19,6,0,1,0,0,0,0,0,0,0,0,0,384,3,89,0,0,0,333,26,160,19,1,1,0,0,3,27,0,7,2,0,1,12,3,20,2,0,8,1,0,0,0,0,0,73,6,100,790,36,121,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,187,0,4,106,6,126,0,0,0,231,1,29,17,1,35,2,0,0,159,1,44,2,0,2,127,7,12,0,0,0
2020-05-03,2952,140,911,0,0,6,58,0,47,0,0,0,0,0,0,36,0,7,3,1,0,14,0,0,0,0,0,0,0,0,427,0,106,0,0,0,374,28,146,66,0,3,0,0,1,35,0,33,0,0,5,13,0,22,0,0,1,19,0,0,0,0,0,49,5,174,678,27,115,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,1,330,1,5,114,3,114,0,0,0,266,1,38,21,0,46,12,0,0,158,0,56,1,0,0,276,74,-19,0,0,0
